ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2011,5,PB,2507507,250750,01,01,02,01,0.0,44,600.0,1,0,,,0,00,717020,45217,41204,4120400,04,54,01,09,15,,,,,0000,,999,,99,999,99,,999,99
2011,5,PB,2507507,250750,01,01,01,03,0.0,44,600.0,1,0,,,0,00,521110,52337,47822,4782201,07,19,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2011,5,PB,2504009,250400,01,01,02,09,0.0,44,547.0,1,0,,,0,00,784205,19313,15319,1531901,07,28,01,08,12,,,,,0000,,999,,99,999,99,,999,99
2011,5,PB,2507507,250750,02,01,06,02,11.0,44,868.0,-1,0,,,0,00,717020,45217,41204,4120400,03,37,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,5,PB,2500601,250060,01,01,02,07,0.0,44,568.0,1,0,,,0,00,622020,51535,46711,4671100,02,30,01,08,17,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2703205,270320,02,01,11,09,4.0,44,587.0,-1,0,,,0,00,622110,15610,10716,1071600,02,22,01,04,13,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2703205,270320,02,01,11,09,7.0,44,1401.0,-1,0,,,0,00,622110,15610,10716,1071600,02,20,01,08,13,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2704302,270430,02,01,11,09,7.0,44,557.0,-1,0,,,0,00,622110,15610,10716,1071600,02,42,01,04,13,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2704302,270430,02,01,11,09,7.0,44,1389.0,-1,0,,,0,00,622110,15610,10716,1071600,02,35,01,08,13,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2704302,270430,02,01,11,09,7.0,44,557.0,-1,0,,,0,00,622110,15610,10716,1071600,02,20,01,08,13,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2704302,270430,02,01,11,09,6.0,44,557.0,-1,0,,,0,00,622110,15610,10716,1071600,03,22,01,08,13,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2709152,270915,02,03,11,06,2.0,44,594.0,-1,0,,,0,00,717020,45225,42111,4211101,04,35,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2704302,270430,02,01,11,05,1.0,44,570.0,-1,0,,,0,00,414105,52159,47130,4713001,07,26,01,02,16,,,,,0000,,999,,99,999,99,,999,99
2011,4,AL,2704302,270430,02,01,11,01,1.0,44,545.0,-1,0,,,0,00,516120,93025,96025,9602501,07,23,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2011,10,PB,2507507,250750,02,01,06,01,6.0,44,655.0,-1,0,,,0,00,519110,52418,47717,4771701,05,23,01,02,16,,,,,0000,,999,,99,999,99,,999,99
2011,10,PB,2507507,250750,02,03,06,01,3.0,4,871.0,-1,0,,,0,00,515210,74993,63992,6399200,07,23,01,02,19,,,,,0000,,999,,99,999,99,,999,99
2011,10,PB,2508901,250890,02,03,11,01,2.0,44,565.0,-1,0,,,0,00,622020,01139,01130,0113000,03,46,01,02,25,,,,,0000,,999,,99,999,99,,999,99
2011,10,PB,2517001,251700,02,01,11,09,14.0,20,545.0,-1,1,,,0,00,411005,17493,13596,1359600,07,20,01,02,11,,,,,0000,,999,,99,999,99,,999,99
2011,10,PB,2507507,250750,02,01,11,01,1.0,44,655.0,-1,0,,,0,00,521110,50105,45111,4511102,07,27,01,08,16,,,,,0000,,999,,99,999,99,,999,99
2011,10,PB,2501005,250100,02,01,11,01,1.0,44,600.0,-1,0,,,0,00,521110,52418,47725,4772500,07,30,02,02,16,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,01,01,02,08,0.0,44,1410.0,1,0,,,0,00,410105,74608,80111,8011101,09,35,01,08,21,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,01,01,02,09,0.0,44,2364.0,1,0,,,0,00,341215,60267,49302,4930202,05,33,01,08,20,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,02,01,11,04,1.0,44,599.0,-1,0,,,0,00,513205,55247,56201,5620101,06,26,02,09,13,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,02,01,04,04,7.0,44,845.0,-1,0,,,0,00,766315,21490,17494,1749400,04,19,01,08, 8,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,01,01,01,04,0.0,44,545.0,1,0,,,0,00,521110,52329,47814,4781400,06,24,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,02,01,06,07,18.0,44,690.0,-1,0,,,0,00,724205,28118,25110,2511000,06,24,01,09, 3,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,02,01,11,02,1.0,44,660.0,-1,0,,,0,00,914405,50300,45307,4530703,07,25,01,09,16,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,01,01,01,01,0.0,44,545.0,1,0,,,0,00,521110,52329,47814,4781400,06,23,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,01,01,02,09,0.0,44,998.0,1,0,,,0,00,411005,74705,81214,8121400,09,30,01,02,21,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,02,01,04,09,16.0,44,814.0,-1,0,,,0,00,717020,74705,81214,8121400,04,32,01,02,21,,,,,0000,,999,,99,999,99,,999,99
2011,11,AM,1302603,130260,01,01,02,09,0.0,44,768.0,1,0,,,0,00,784205,35912,30911,3091100,07,23,01,08, 6,,,,,0000,,999,,99,999,99,,999,99
