ano,mes,competencia_movimentacao,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_1994,cbo_2002,cnae_1,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr,regiao_metropolitana_mte
2011,6,2011-01,RR,1400100,140010,02,01,04,01,9.0,44,5.6,-1,0,,,0,00,45130,521110,52310,4755502,07,20,02,09,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-01,PB,2504009,250400,01,01,01,04,0.0,44,8.94,1,0,,,0,00,000-1,782305,15814,1091100,05,26,01,02,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-01,PB,2504009,250400,01,01,01,04,0.0,44,5.1,1,0,,,0,00,000-1,919205,15814,1091100,05,31,01,02,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-08,PB,2510808,251080,01,01,02,06,0.0,44,5.5,1,0,,,0,00,000-1,841720,15920,1112700,07,27,01,02,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-08,PB,2507507,250750,01,01,02,03,0.0,44,5.35,1,0,,,0,00,000-1,717020,45411,4321500,07,35,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-08,PB,2507002,250700,01,01,01,04,0.0,44,5.1,1,0,,,0,00,000-1,760125,17310,1321900,07,21,02,08,11,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-08,PB,2513901,251390,01,01,01,06,0.0,44,5.1,1,0,,,0,00,000-1,784205,17418,1351100,05,32,02,02,11,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-08,PB,2504009,250400,02,01,04,07,5.0,44,5.12,-1,0,,,0,00,000-1,514325,74500,7820500,05,46,02,09,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-08,PB,2507507,250750,01,03,02,01,0.0,44,6.8,1,0,,,0,00,000-1,715210,45500,4399103,04,40,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-01,SE,2803500,280350,01,01,02,01,0.0,44,6.0,1,0,,,0,00,45130,521110,50300,4530704,06,30,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-03,SE,2801207,280120,01,01,01,01,0.0,44,7.0,1,0,,,0,00,39310,411005,92614,9312300,06,30,02,02,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-05,SE,2802908,280290,02,01,04,02,28.0,44,5.35,-1,0,,,0,00,45190,521125,15814,1091102,07,29,02,08,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-06,SE,2800308,280030,01,01,02,04,0.0,44,6.5,1,0,,,0,00,53260,513425,55247,5620101,06,33,02,02,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-08,SE,2800308,280030,02,01,11,02,6.0,44,9.94,-1,0,,,0,00,70183,710205,45500,4330403,04,22,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-08,SE,2803203,280320,02,01,06,01,4.0,44,9.45,-1,0,,,0,00,95110,715210,45217,4120400,05,27,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-09,SE,2806701,280670,02,01,11,06,4.0,44,6.46,-1,0,,,0,00,39410,422105,70327,6822600,08,21,01,08,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-10,SE,2800308,280030,01,01,02,01,0.0,44,6.22,1,0,,,0,00,95932,717020,45217,4120400,03,34,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-03,TO,1721000,172100,01,01,02,03,0.0,44,6.22,1,0,,,0,00,77410,841408,55212,5611201,07,38,02,09,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-05,TO,1721000,172100,01,01,02,02,0.0,44,6.44,1,0,,,0,00,45160,521135,50504,4731800,07,18,01,09,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-07,TO,1718865,171886,02,01,04,01,8.0,44,9.92,-1,0,,,0,00,95110,715210,45292,4399199,07,37,01,09,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-07,TO,1721000,172100,02,01,04,01,5.0,44,9.4,-1,0,,,0,00,98560,782510,52299,4729699,07,28,01,02,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,11,2012-07,TO,1700350,170035,02,01,43,01,7.0,44,8.5,-1,0,,,0,00,000-1,271105,55212,5611201,07,30,01,09,21,,,,,,, 999,,  99, 999,  99,, 999,99,
