ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2007,12,SP,3535507,353550,02,03,11,09,7.0,44,470.0,-1,0,,,0,,621005,000-1,01130,00000-1,05,29,01,02,25,9999,0000,0000,9999,0000,,007,,99,035,99,,026,99
2007,12,SP,3539301,353930,02,03,11,06,8.0,44,1218.0,-1,0,,,0,,622110,000-1,01130,00000-1,03,33,01,02,25,9999,0000,0000,9999,0000,,004,,99,017,99,,004,99
2007,12,SP,3522703,352270,01,03,02,01,0.0,44,470.0,1,0,,,0,,621005,000-1,01334,00000-1,04,31,01,02,25,9999,0000,0000,9999,0000,,005,,99,039,99,,027,99
2007,12,SP,3506102,350610,02,03,04,05,5.0,44,380.0,-1,0,,,0,,622505,000-1,01334,00000-1,02,29,01,02,25,9999,0000,0000,9999,0000,,002,,99,041,99,,037,99
2007,12,SP,3506102,350610,02,03,04,05,5.0,44,380.0,-1,0,,,0,,622505,000-1,01334,00000-1,02,35,01,02,25,9999,0000,0000,9999,0000,,002,,99,041,99,,037,99
2007,12,SP,3500105,350010,02,03,04,06,9.0,44,480.0,-1,0,,,0,,622110,000-1,01130,00000-1,03,30,01,02,25,9999,0000,0000,9999,0000,,008,,99,032,99,,035,99
2007,12,SP,3500105,350010,02,03,04,06,10.0,44,480.0,-1,0,,,0,,622110,000-1,01130,00000-1,03,48,02,02,25,9999,0000,0000,9999,0000,,008,,99,032,99,,035,99
2007,12,SP,3526803,352680,02,03,04,06,9.0,44,451.0,-1,0,,,0,,622110,000-1,01130,00000-1,02,49,01,02,25,9999,0000,0000,9999,0000,,003,,99,022,99,,023,99
2007,12,SP,3539301,353930,02,03,04,01,7.0,44,500.0,-1,0,,,0,,622110,000-1,01130,00000-1,03,20,01,02,25,9999,0000,0000,9999,0000,,004,,99,017,99,,004,99
2007,12,SP,3550308,355030,01,03,01,01,0.0,44,500.0,1,0,,,0,,411005,000-1,14126,1412601,07,22,01,08,11,,0000,0000,,0000,,013,,99,001,99,,046,99
2007,12,SP,3522703,352270,02,03,04,06,6.0,44,380.0,-1,0,,,0,,622505,000-1,01334,00000-1,04,45,01,02,25,9999,0000,0000,9999,0000,,005,,99,039,99,,027,99
2007,12,SP,3507506,350750,01,03,02,04,0.0,44,411.0,1,0,,,0,,622505,000-1,01334,00000-1,03,29,01,02,25,9999,0000,0000,9999,0000,,015,,99,010,99,,007,99
2007,12,SP,3526704,352670,02,03,06,01,2.0,44,583.0,-1,0,,,0,,715210,000-1,41204,4120400,06,33,01,02,15,9999,0000,0000,9999,0000,,004,,99,017,99,,004,99
2007,12,SP,3513801,351380,02,03,08,01,1.0,40,600.0,-1,0,,,0,,783225,000-1,49302,4930201,05,21,01,08,20,9999,0000,0000,9999,0000,,013,,99,001,99,,013,99
2007,6,MG,3106200,310620,01,01,02,04,0.0,44,420.0,1,0,,,0,,717020,000-1,41204,00000-1,04,20,01,02,15,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,6,MG,3106705,310670,01,01,02,02,0.0,44,420.0,1,0,,,0,,717020,000-1,47890,00000-1,04,50,01,04,16,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,6,MG,3118601,311860,02,01,04,01,16.0,44,459.0,-1,0,,,0,,848305,000-1,47211,00000-1,05,44,01,09,16,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,6,MG,3106705,310670,01,01,02,05,0.0,44,446.0,1,0,,,0,,784205,000-1,24415,00000-1,07,21,01,08,3,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
