ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2021,10,MS,5004403,500440,C,1052000,414105,1,101,5,,,3,1,,0,1,97,0,0,0,4,0,1,0
2021,10,MS,5002704,500270,F,4221902,715615,-1,101,7,,,6,1,,0,1,40,0,0,0,8,0,1,0
2021,10,MS,5002704,500270,G,4731800,521135,1,101,7,,,1,3,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5003801,500380,C,1092900,411005,-1,101,5,,,3,3,,0,1,31,0,0,1,1,0,1,0
2021,10,MS,5002704,500270,A,151201,641015,-1,101,4,,,3,1,,2,3,31,0,0,0,99,0,1,0
2021,10,MS,5002704,500270,A,161003,622010,1,101,7,,,6,1,,0,1,97,0,0,0,4,0,1,0
2021,10,MS,5004700,500470,C,3314713,911305,-1,101,7,,,6,1,,0,1,43,0,0,0,2,0,1,0
2021,10,MS,5002704,500270,S,9430800,411005,1,101,4,,,1,1,,0,1,97,0,0,0,10,0,1,0
2021,10,MS,5001003,500100,C,2229302,514320,1,101,7,,,1,3,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5005400,500540,C,2539001,723315,1,101,7,,,6,1,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,I,5611201,513610,1,101,7,,,1,1,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,H,4930202,342120,-1,101,7,,,3,1,,0,1,31,0,0,0,4,0,1,0
2021,10,MS,5008305,500830,E,3839401,992225,1,101,4,,,1,1,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5002407,500240,M,7490103,411010,1,101,8,,,6,3,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,F,4110700,252105,1,101,9,,,1,3,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,N,8121400,514320,1,101,7,,,3,1,,0,1,97,0,0,0,9,0,1,0
2021,10,MS,5006200,500620,G,4711302,421125,1,101,7,,,6,1,,0,1,97,0,0,0,6,0,1,0
2021,10,MS,5002704,500270,N,8211300,782310,1,101,3,,,3,1,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5003256,500325,A,161099,862150,-1,101,7,,,3,1,,0,1,43,0,0,0,7,0,1,0
2021,10,MS,5004700,500470,Q,8711502,513205,-1,101,4,,,1,3,,0,1,31,0,0,0,4,0,1,0
2021,10,MS,5006309,500630,G,4711302,521110,-1,101,7,,,6,3,,0,1,40,0,0,0,1,0,1,0
2021,10,MS,5006309,500630,A,151201,514320,1,101,7,,,3,3,,2,3,97,0,0,0,99,0,1,0
2021,10,MS,5002704,500270,J,6209100,411010,1,101,8,,,6,3,,0,1,97,0,0,0,7,0,1,0
2021,10,MS,5002704,500270,P,8511200,331110,1,101,9,,,6,3,,0,1,97,0,0,0,4,0,1,0
