ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2020,10,AP,1600303,160030,P,8512100,422105,1,101,7,,,3,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4530703,715230,1,101,6,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4789099,521140,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,N,8111700,514225,1,101,7,,,2,1,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600303,160030,N,8111700,710205,1,101,7,,,1,3,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600303,160030,G,4781400,521110,-1,101,7,,,3,3,,0,1,31,0,0,0,2,0,1,1
2020,10,AP,1600303,160030,G,4789099,862505,1,101,7,,,6,1,,0,1,20,0,0,0,2,0,1,1
2020,10,AP,1600303,160030,G,4772500,521110,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,R,9313100,333110,-1,999,9,,,3,1,,0,1,31,0,0,0,2,0,2,1
2020,10,AP,1600303,160030,G,4530703,715230,1,101,6,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4530703,513425,-1,101,3,,,3,1,,0,1,31,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,I,5611203,513505,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,N,8219999,521135,-1,101,7,,,6,3,,0,1,31,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4781400,521110,-1,999,7,,,3,3,,0,1,31,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,G,4763603,919310,-1,999,7,,,1,1,,0,1,31,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,S,9603304,516505,-1,999,7,,,3,1,,0,1,31,0,0,0,2,0,2,1
2020,10,AP,1600303,160030,G,4781400,521110,-1,999,7,,,3,3,,0,1,31,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,G,4763603,914405,-1,999,7,,,3,1,,0,1,31,0,0,0,2,0,2,1
2020,10,AP,1600303,160030,G,4530703,513425,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,P,8512100,231305,-1,999,9,,,3,3,,0,1,31,0,0,0,5,0,2,1
2020,10,AP,1600303,160030,G,4712100,513435,-1,101,7,,,3,1,,0,1,31,0,0,0,3,0,1,1
2020,10,AP,1600303,160030,G,4752100,141415,-1,101,8,,,3,1,,0,1,31,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4752100,521110,-1,101,9,,,1,1,,0,1,31,0,0,0,3,0,1,1
2020,10,AP,1600303,160030,N,7820500,515110,1,101,7,,,6,1,,0,1,10,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,N,7820500,821405,1,101,7,,,6,1,,0,1,20,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,R,9313100,333110,-1,999,9,,,3,1,,0,1,31,0,0,0,2,0,2,1
2020,10,AP,1600303,160030,G,4530703,782305,1,101,5,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,F,4120400,717020,1,101,7,,,3,1,,0,1,20,0,0,0,6,0,1,1
2020,10,AP,1600303,160030,G,4530703,513425,-1,101,7,,,3,3,,0,1,31,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4530703,513425,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,N,7820500,513425,1,101,7,,,6,3,,0,1,20,0,0,0,7,0,1,1
2020,10,AP,1600279,160027,I,5510801,512105,-1,101,7,,,3,3,,0,1,31,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4755502,521110,-1,999,7,,,3,3,,0,1,40,0,0,0,4,0,2,1
2020,10,AP,1600600,160060,J,6110803,521110,1,101,7,,,1,3,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600303,160030,N,8219999,521135,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,N,7820500,517410,1,101,7,,,6,3,,0,1,10,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,G,4781400,521110,1,999,7,,,3,3,,0,1,10,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,G,4771701,521130,1,101,7,,,3,3,,0,1,20,0,0,0,4,0,1,1
2020,10,AP,1600709,160070,F,4313400,717020,1,101,5,,,3,1,,0,1,10,0,0,0,3,0,1,1
2020,10,AP,1600303,160030,G,4712100,848310,-1,999,7,,,3,1,,0,1,31,0,0,0,3,0,2,1
2020,10,AP,1600303,160030,N,7820500,422110,-1,999,7,,,9,3,,0,1,31,0,9,9,8,0,3,1
2020,10,AP,1600303,160030,N,7820500,422105,1,101,7,,,6,3,,0,1,10,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,N,7820500,514320,1,101,7,,,6,1,,0,1,10,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,G,4729699,521110,1,101,9,,,1,3,,0,1,10,0,0,0,2,0,1,1
2020,10,AP,1600303,160030,N,7820500,514320,1,101,7,,,6,3,,0,1,20,0,0,0,7,0,1,1
2020,10,AP,1600600,160060,J,6110803,317210,1,101,7,,,2,1,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600303,160030,N,7820500,514320,1,101,7,,,6,3,,0,1,20,0,0,0,7,0,1,1
2020,10,AP,1600600,160060,G,4691500,717020,1,101,5,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600501,160050,G,4711302,521125,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600501,160050,G,4711302,414110,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,C,1091102,848305,-1,999,7,,,3,1,,0,1,40,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,N,7820500,515110,1,101,7,,,6,1,,0,1,20,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,F,4313400,715110,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4732600,919110,-1,101,7,,,3,1,,0,1,31,0,0,0,3,0,1,1
2020,10,AP,1600303,160030,G,4530705,992115,1,101,7,,,6,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600600,160060,G,4691500,717020,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,F,4211101,717020,-1,101,7,,,6,1,,0,4,43,0,0,0,1,0,1,1
2020,10,AP,1600600,160060,H,4921301,511215,-1,101,5,,,3,1,,0,1,40,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,F,4120400,782510,1,999,7,,,3,1,,0,1,25,0,0,0,7,0,2,1
2020,10,AP,1600303,160030,F,4120400,715110,1,999,7,,,3,1,,0,1,25,0,0,0,7,0,2,1
2020,10,AP,1600600,160060,J,6110803,313305,1,101,7,,,3,1,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600600,160060,G,4744004,715115,-1,101,7,,,3,1,,0,1,40,0,0,0,3,0,1,1
2020,10,AP,1600303,160030,N,7810800,521110,1,999,7,,,3,1,,0,1,20,0,0,0,1,0,2,1
2020,10,AP,1600303,160030,G,4712100,715210,-1,999,6,,,3,1,,0,1,31,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,F,4120400,717020,1,999,3,,,3,1,,0,1,20,0,0,0,7,0,2,1
2020,10,AP,1600600,160060,J,6110803,313305,1,101,7,,,3,1,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600303,160030,F,4120400,715210,-1,101,6,,,3,1,,0,1,43,0,0,0,6,0,1,1
2020,10,AP,1600303,160030,S,9492800,252305,1,101,9,,,3,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600600,160060,F,4120400,715210,1,101,7,,,1,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,H,4921301,782410,-1,101,5,,,1,1,,0,1,31,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,F,4120400,411010,1,101,9,,,5,3,,0,1,20,0,0,0,9,0,1,1
2020,10,AP,1600303,160030,J,6201500,354145,-1,101,7,,,6,1,,0,1,43,0,0,0,4,0,1,1
2020,10,AP,1600600,160060,H,4921301,782410,-1,101,5,,,3,1,,0,1,40,0,0,0,6,0,1,1
2020,10,AP,1600303,160030,H,4921301,782410,-1,101,7,,,2,1,,0,1,40,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,N,7810800,223405,1,999,9,,,3,3,,0,1,20,0,0,0,1,0,2,1
2020,10,AP,1600303,160030,F,4313400,782510,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,G,4744099,141410,-1,999,7,,,2,1,,0,1,40,0,0,0,3,0,2,1
2020,10,AP,1600303,160030,F,4120400,782510,1,999,7,,,3,1,,0,1,25,0,0,0,7,0,2,1
2020,10,AP,1600600,160060,F,4120400,715210,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,N,8011101,517330,-1,101,7,,,6,1,,0,1,31,0,0,0,7,0,1,1
2020,10,AP,1600600,160060,F,4120400,715210,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,J,6201500,142335,-1,101,7,,,6,1,,0,1,31,0,0,0,4,0,1,1
2020,10,AP,1600303,160030,F,4120400,517420,1,999,6,,,3,1,,0,1,25,0,0,0,7,0,2,1
2020,10,AP,1600303,160030,F,4120400,717020,1,101,5,,,3,1,,0,1,20,0,0,0,6,0,1,1
2020,10,AP,1600600,160060,J,6110803,313305,1,101,7,,,2,1,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600303,160030,F,4211101,717020,-1,101,7,,,3,1,,0,4,43,0,0,0,1,0,1,1
2020,10,AP,1600600,160060,H,4921301,511215,-1,101,7,,,1,1,,0,1,40,0,0,0,7,0,1,1
2020,10,AP,1600303,160030,G,4632003,514325,-1,999,7,,,3,1,,0,1,31,0,0,0,2,0,2,1
2020,10,AP,1600303,160030,F,4120400,514320,1,101,7,,,5,3,,0,1,20,0,0,0,9,0,1,1
2020,10,AP,1600303,160030,J,6201500,354145,-1,101,7,,,6,1,,0,1,40,0,0,0,4,0,1,1
2020,10,AP,1600303,160030,N,8121400,517410,-1,999,7,,,9,1,,0,1,31,0,9,9,7,0,3,1
2020,10,AP,1600303,160030,N,8219901,415130,-1,999,7,,,3,1,,0,1,31,0,0,0,3,0,2,1
2020,10,AP,1600303,160030,N,7810800,521130,1,999,7,,,3,3,,0,1,20,0,0,0,1,0,2,1
2020,10,AP,1600303,160030,G,4744099,521110,-1,999,7,,,3,1,,0,1,45,0,0,0,3,0,2,1
2020,10,AP,1600303,160030,G,4679699,514320,1,999,7,,,3,1,,0,1,20,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,G,4679699,421105,1,999,7,,,3,3,,0,1,20,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,G,4781400,354145,1,101,7,,,3,3,,0,1,20,0,0,0,3,0,1,1
2020,10,AP,1600303,160030,G,4744099,521110,1,999,7,,,3,3,,0,1,20,0,0,0,3,0,2,1
2020,10,AP,1600600,160060,J,6110803,521140,1,101,7,,,3,3,,0,1,20,0,0,0,5,0,1,1
2020,10,AP,1600303,160030,G,4721102,422105,1,101,7,,,6,3,,0,1,20,0,0,0,2,0,1,1
2020,10,AP,1600303,160030,G,4712100,521125,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AP,1600303,160030,F,4120400,514320,1,101,7,,,3,1,,0,1,20,0,0,0,9,0,1,1
2020,10,AP,1600303,160030,G,4789001,521110,-1,999,7,,,3,1,,0,1,40,0,0,0,4,0,2,1
2020,10,AP,1600303,160030,G,4520001,914405,1,999,7,,,2,1,,0,1,20,0,0,0,2,0,2,1
2020,10,AC,1200401,120040,G,4712100,519110,-1,101,7,,,3,1,,0,1,32,0,0,0,3,0,1,1
2020,10,AC,1200203,120020,G,4679699,521110,-1,101,7,,,6,3,,0,1,31,0,0,0,4,0,1,1
2020,10,AC,1200450,120045,G,4761003,521110,-1,101,7,,,3,3,,0,1,31,0,0,0,2,0,1,1
2020,10,AC,1200401,120040,N,8291100,411010,1,101,7,,,6,1,,0,1,20,0,0,0,2,0,1,1
2020,10,AC,1200401,120040,Q,8630503,422105,-1,999,7,,,6,3,,0,1,31,0,0,0,1,0,2,1
2020,10,AC,1200401,120040,G,4763605,914405,1,101,7,,,6,1,,0,1,20,0,0,0,3,0,1,1
2020,10,AC,1200401,120040,Q,8630503,422105,1,999,7,,,6,3,,0,1,20,0,0,0,1,0,2,1
2020,10,AC,1200401,120040,N,8121400,514320,-1,111,5,,,6,1,,0,1,43,0,1,9,7,0,1,1
2020,10,AC,1200401,120040,N,8121400,641010,-1,101,7,,,6,1,,0,1,90,0,0,0,7,0,1,1
2020,10,AC,1200401,120040,N,8121400,514320,-1,101,7,,,3,1,,0,1,32,0,0,0,7,0,1,1
2020,10,AC,1200401,120040,N,7820500,514320,-1,101,5,,,6,3,,0,1,31,0,0,0,10,0,1,1
2020,10,AC,1200401,120040,N,7820500,514320,-1,101,7,,,3,1,,0,1,31,0,0,0,10,0,1,1
2020,10,AC,1200401,120040,N,8299799,514225,1,101,7,,,6,1,,0,1,20,0,0,0,7,0,1,1
2020,10,AC,1200401,120040,G,4744001,521140,1,101,7,,,6,3,,0,1,20,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,F,4120400,717020,-1,101,7,,,6,1,,0,1,31,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,Q,8630503,422105,-1,999,7,,,6,3,,0,1,31,0,0,0,1,0,2,1
2020,10,AC,1200401,120040,F,4120400,717020,-1,101,6,,,3,1,,0,1,31,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,G,4744001,512105,1,101,7,,,6,3,,0,1,20,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,G,4774100,354125,1,101,7,,,6,3,,0,1,20,0,0,0,3,0,1,1
2020,10,AC,1200401,120040,F,4120400,715210,-1,101,7,,,6,1,,0,1,31,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,N,7820500,422105,1,101,7,,,6,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,N,7820500,411005,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,N,7820500,422105,1,101,9,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,F,4120400,715505,-1,101,7,,,6,1,,0,1,31,0,0,0,4,0,1,1
